java|2020-02-05 13:12:58, 271|test|D:\git\multi-dependency\src\main\java\cn\edu\fudan\se\multidependency\stub\StubMain.java|cn.edu.fudan.se.multidependency.stub.StubMain.main-(String[])-0-0
java|2020-02-05 13:17:00,642|depends|D:\multiple-dependency-project\depends\src\main\java\depends\entity\Entity.java|depends.entity.Entity.getQualifiedName-()-100-5
java|2020-02-05 13:17:00,643|depends|D:\multiple-dependency-project\depends\src\main\java\depends\entity\Entity.java|depends.entity.Entity.getQualifiedName-()-101-5
java|2020-02-05 13:17:00,643|depends|D:\multiple-dependency-project\depends\src\main\java\depends\entity\Entity.java|depends.entity.Entity.getQualifiedName-()-102-5
java|2020-02-05 13:17:00,643|depends|D:\multiple-dependency-project\depends\src\main\java\depends\entity\Entity.java|depends.entity.Entity.getParent-()-103-5
java|2020-02-05 13:17:00,644|depends|D:\multiple-dependency-project\depends\src\main\java\depends\entity\repo\InMemoryEntityRepo.java|depends.entity.repo.InMemoryEntityRepo.addFile-(FileEntity)-104-4
java|2020-02-05 13:17:00,650|depends|D:\multiple-dependency-project\depends\target\generated-sources\antlr4\depends\extractor\java\JavaParser.java|depends.extractor.java.JavaParser.compilationUnit-()-105-2
java|2020-02-05 13:17:00,650|depends|D:\multiple-dependency-project\depends\target\generated-sources\antlr4\depends\extractor\java\JavaParser.java|depends.extractor.java.JavaParser.CompilationUnitContext.CompilationUnitContext-(ParserRuleContext, int)-106-3
java|2020-02-05 13:17:00,657|depends|D:\multiple-dependency-project\depends\target\generated-sources\antlr4\depends\extractor\java\JavaParser.java|depends.extractor.java.JavaParser.getATN-()-107-3
java|2020-02-05 13:17:00,659|depends|D:\multiple-dependency-project\depends\target\generated-sources\antlr4\depends\extractor\java\JavaParser.java|depends.extractor.java.JavaParser.packageDeclaration-()-108-3
java|2020-02-05 13:17:00,660|depends|D:\multiple-dependency-project\depends\target\generated-sources\antlr4\depends\extractor\java\JavaParser.java|depends.extractor.java.JavaParser.PackageDeclarationContext.PackageDeclarationContext-(ParserRuleContext, int)-109-4
java|2020-02-05 13:17:00,660|depends|D:\multiple-dependency-project\depends\target\generated-sources\antlr4\depends\extractor\java\JavaParser.java|depends.extractor.java.JavaParser.getATN-()-110-4
