$0;1578228379251666200;1.13;KIEKER-SINGLETON;DESKTOP-4RF3KHM;1;false;0;NANOSECONDS;0
$1;1578228381234605200;public static depends.entity.GenericName depends.entity.GenericName.build(java.lang.String);<no-session-id>;4716394709763751941;1578228381234457600;1578228381234602300;DESKTOP-4RF3KHM;14;5
$1;1578228381234725800;public depends.entity.GenericName depends.entity.GenericName.replace(java.lang.String, java.lang.String);<no-session-id>;4716394709763751941;1578228381234687100;1578228381234723100;DESKTOP-4RF3KHM;17;6
$1;1578228381235180300;public boolean depends.entity.GenericName.startsWith(java.lang.String);<no-session-id>;4716394709763751941;1578228381235174000;1578228381235177900;DESKTOP-4RF3KHM;18;6
$1;1578228381235271800;public java.lang.String depends.entity.GenericName.uniqName();<no-session-id>;4716394709763751941;1578228381235266300;1578228381235270000;DESKTOP-4RF3KHM;19;6
$1;1578228381235376700;private void depends.entity.Entity.deduceQualifiedName();<no-session-id>;4716394709763751941;1578228381234680400;1578228381235374000;DESKTOP-4RF3KHM;16;5
$1;1578228381235440000;public depends.entity.Entity.<init>(depends.entity.GenericName, depends.entity.Entity, java.lang.Integer);<no-session-id>;4716394709763751941;1578228381234448900;1578228381235437800;DESKTOP-4RF3KHM;13;4
$1;1578228381235511300;public depends.entity.DecoratedEntity.<init>(depends.entity.GenericName, depends.entity.Entity, java.lang.Integer);<no-session-id>;4716394709763751941;1578228381235507500;1578228381235509600;DESKTOP-4RF3KHM;20;4
$1;1578228381235581100;public depends.entity.ContainerEntity.<init>(depends.entity.GenericName, depends.entity.Entity, java.lang.Integer);<no-session-id>;4716394709763751941;1578228381235577700;1578228381235579400;DESKTOP-4RF3KHM;21;4
$1;1578228381235650900;public depends.entity.TypeEntity.<init>(depends.entity.GenericName, depends.entity.Entity, java.lang.Integer);<no-session-id>;4716394709763751941;1578228381235647200;1578228381235649200;DESKTOP-4RF3KHM;22;4
$1;1578228381236240300;public void depends.entity.Entity.setQualifiedName(java.lang.String);<no-session-id>;4716394709763751941;1578228381236228100;1578228381236237400;DESKTOP-4RF3KHM;24;5
$1;1578228381236352500;public depends.entity.FileEntity.<init>(java.lang.String, int, boolean);<no-session-id>;4716394709763751941;1578228381236124900;1578228381236350300;DESKTOP-4RF3KHM;23;4
$1;1578228381236509200;protected void depends.extractor.HandlerContext.pushToStack(depends.entity.Entity);<no-session-id>;4716394709763751941;1578228381236492300;1578228381236507000;DESKTOP-4RF3KHM;25;4
$1;1578228381242352900;public java.lang.Integer depends.entity.Entity.getId();<no-session-id>;4716394709763751941;1578228381242336700;1578228381242348200;DESKTOP-4RF3KHM;27;5
$1;1578228381242992000;public depends.entity.GenericName depends.entity.Entity.getRawName();<no-session-id>;4716394709763751941;1578228381242977800;1578228381242988300;DESKTOP-4RF3KHM;28;5
$1;1578228381243108700;public java.lang.String depends.entity.GenericName.uniqName();<no-session-id>;4716394709763751941;1578228381243100900;1578228381243105800;DESKTOP-4RF3KHM;29;5
$1;1578228381244754300;public final java.lang.String depends.entity.Entity.getQualifiedName();<no-session-id>;4716394709763751941;1578228381244739100;1578228381244749900;DESKTOP-4RF3KHM;30;5
$1;1578228381250842400;public final java.lang.String depends.entity.Entity.getQualifiedName();<no-session-id>;4716394709763751941;1578228381250825800;1578228381250838600;DESKTOP-4RF3KHM;31;5
$1;1578228381253270400;public final java.lang.String depends.entity.Entity.getQualifiedName();<no-session-id>;4716394709763751941;1578228381253048400;1578228381253050700;DESKTOP-4RF3KHM;32;5
$1;1578228381257194700;public depends.entity.Entity depends.entity.Entity.getParent();<no-session-id>;4716394709763751941;1578228381256934800;1578228381256947300;DESKTOP-4RF3KHM;33;5
$1;1578228381259567900;public void depends.entity.repo.InMemoryEntityRepo.add(depends.entity.Entity);<no-session-id>;4716394709763751941;1578228381242204000;1578228381259546700;DESKTOP-4RF3KHM;26;4
$1;1578228381261616700;public depends.entity.FileEntity depends.extractor.HandlerContext.startFile(java.lang.String);<no-session-id>;4716394709763751941;1578228381232466300;1578228381261591300;DESKTOP-4RF3KHM;9;3
$1;1578228381262668300;public depends.extractor.java.JavaListener.<init>(java.lang.String, depends.entity.repo.EntityRepo, depends.relations.Inferer);<no-session-id>;4716394709763751941;1578228381049257200;1578228381262661200;DESKTOP-4RF3KHM;4;2
$1;1578228381348651700;public static java.lang.String depends.extractor.java.context.QualitiedNameContextHelper.getName(depends.extractor.java.JavaParser$QualifiedNameContext);<no-session-id>;4716394709763751941;1578228381341485600;1578228381348645500;DESKTOP-4RF3KHM;35;3
$1;1578228381348999200;public depends.entity.Entity depends.entity.repo.InMemoryEntityRepo.getEntity(java.lang.String);<no-session-id>;4716394709763751941;1578228381348917700;1578228381348994500;DESKTOP-4RF3KHM;37;4
$1;1578228381349920000;public java.lang.Integer depends.entity.repo.SimpleIdGenerator.generateId();<no-session-id>;4716394709763751941;1578228381349914200;1578228381349916100;DESKTOP-4RF3KHM;38;4
$1;1578228381349958100;public depends.entity.GenericName.<init>(java.lang.String);<no-session-id>;4716394709763751941;1578228381349955400;1578228381349956800;DESKTOP-4RF3KHM;40;5
$1;1578228381349962600;public static depends.entity.GenericName depends.entity.GenericName.build(java.lang.String);<no-session-id>;4716394709763751941;1578228381349949700;1578228381349961600;DESKTOP-4RF3KHM;39;4
$1;1578228381349985200;public depends.entity.GenericName.<init>(java.lang.String);<no-session-id>;4716394709763751941;1578228381349983500;1578228381349984100;DESKTOP-4RF3KHM;43;6
$1;1578228381349988600;public static depends.entity.GenericName depends.entity.GenericName.build(java.lang.String);<no-session-id>;4716394709763751941;1578228381349979700;1578228381349987700;DESKTOP-4RF3KHM;42;5
$1;1578228381350016800;public depends.entity.GenericName depends.entity.GenericName.replace(java.lang.String, java.lang.String);<no-session-id>;4716394709763751941;1578228381349999600;1578228381350015400;DESKTOP-4RF3KHM;45;6
$1;1578228381350026900;public boolean depends.entity.GenericName.startsWith(java.lang.String);<no-session-id>;4716394709763751941;1578228381350024000;1578228381350025900;DESKTOP-4RF3KHM;46;6
$1;1578228381350037700;public java.lang.String depends.entity.GenericName.uniqName();<no-session-id>;4716394709763751941;1578228381350033800;1578228381350036700;DESKTOP-4RF3KHM;47;6
$1;1578228381350041000;private void depends.entity.Entity.deduceQualifiedName();<no-session-id>;4716394709763751941;1578228381349994800;1578228381350040300;DESKTOP-4RF3KHM;44;5
$1;1578228381350043300;public depends.entity.Entity.<init>(depends.entity.GenericName, depends.entity.Entity, java.lang.Integer);<no-session-id>;4716394709763751941;1578228381349975300;1578228381350042700;DESKTOP-4RF3KHM;41;4
$1;1578228381350052000;public depends.entity.DecoratedEntity.<init>(depends.entity.GenericName, depends.entity.Entity, java.lang.Integer);<no-session-id>;4716394709763751941;1578228381350050000;1578228381350051100;DESKTOP-4RF3KHM;48;4
$1;1578228381350060200;public depends.entity.ContainerEntity.<init>(depends.entity.GenericName, depends.entity.Entity, java.lang.Integer);<no-session-id>;4716394709763751941;1578228381350058500;1578228381350059300;DESKTOP-4RF3KHM;49;4
$1;1578228381350068200;public depends.entity.TypeEntity.<init>(depends.entity.GenericName, depends.entity.Entity, java.lang.Integer);<no-session-id>;4716394709763751941;1578228381350066400;1578228381350067400;DESKTOP-4RF3KHM;50;4
$1;1578228381350200100;public void depends.entity.Entity.setQualifiedName(java.lang.String);<no-session-id>;4716394709763751941;1578228381350197900;1578228381350199000;DESKTOP-4RF3KHM;52;5
$1;1578228381350204100;public depends.entity.PackageEntity.<init>(java.lang.String, java.lang.Integer);<no-session-id>;4716394709763751941;1578228381350173000;1578228381350203300;DESKTOP-4RF3KHM;51;4
$1;1578228381350820200;public java.lang.Integer depends.entity.Entity.getId();<no-session-id>;4716394709763751941;1578228381350813700;1578228381350816600;DESKTOP-4RF3KHM;54;5
$1;1578228381350848800;public depends.entity.GenericName depends.entity.Entity.getRawName();<no-session-id>;4716394709763751941;1578228381350846000;1578228381350847200;DESKTOP-4RF3KHM;55;5
