$0;1578228633738689700;1.13;KIEKER-SINGLETON;DESKTOP-4RF3KHM;1;false;0;NANOSECONDS;0
$1;1578228634970361900;private void depends.entity.Entity.deduceQualifiedName();<no-session-id>;1271985419755454469;1578228634970241000;1578228634970360400;DESKTOP-4RF3KHM;16;5
$1;1578228634970367000;public depends.entity.Entity.<init>(depends.entity.GenericName, depends.entity.Entity, java.lang.Integer);<no-session-id>;1271985419755454469;1578228634970213100;1578228634970366000;DESKTOP-4RF3KHM;13;4
$1;1578228634970378000;public depends.entity.DecoratedEntity.<init>(depends.entity.GenericName, depends.entity.Entity, java.lang.Integer);<no-session-id>;1271985419755454469;1578228634970375700;1578228634970377100;DESKTOP-4RF3KHM;20;4
$1;1578228634970388200;public depends.entity.ContainerEntity.<init>(depends.entity.GenericName, depends.entity.Entity, java.lang.Integer);<no-session-id>;1271985419755454469;1578228634970386400;1578228634970387400;DESKTOP-4RF3KHM;21;4
$1;1578228634970398100;public depends.entity.TypeEntity.<init>(depends.entity.GenericName, depends.entity.Entity, java.lang.Integer);<no-session-id>;1271985419755454469;1578228634970395900;1578228634970397200;DESKTOP-4RF3KHM;22;4
$1;1578228634970647800;public void depends.entity.Entity.setQualifiedName(java.lang.String);<no-session-id>;1271985419755454469;1578228634970636200;1578228634970645600;DESKTOP-4RF3KHM;24;5
$1;1578228634970654200;public depends.entity.FileEntity.<init>(java.lang.String, int, boolean);<no-session-id>;1271985419755454469;1578228634970519400;1578228634970652700;DESKTOP-4RF3KHM;23;4
$1;1578228634970750900;protected void depends.extractor.HandlerContext.pushToStack(depends.entity.Entity);<no-session-id>;1271985419755454469;1578228634970735500;1578228634970748800;DESKTOP-4RF3KHM;25;4
$1;1578228634970905200;public java.lang.Integer depends.entity.Entity.getId();<no-session-id>;1271985419755454469;1578228634970895700;1578228634970902800;DESKTOP-4RF3KHM;27;5
$1;1578228634970988300;public depends.entity.GenericName depends.entity.Entity.getRawName();<no-session-id>;1271985419755454469;1578228634970979100;1578228634970986200;DESKTOP-4RF3KHM;28;5
$1;1578228634971008200;public java.lang.String depends.entity.GenericName.uniqName();<no-session-id>;1271985419755454469;1578228634971003600;1578228634971006600;DESKTOP-4RF3KHM;29;5
$1;1578228634971092000;public final java.lang.String depends.entity.Entity.getQualifiedName();<no-session-id>;1271985419755454469;1578228634971083300;1578228634971090100;DESKTOP-4RF3KHM;30;5
$1;1578228634971102700;public final java.lang.String depends.entity.Entity.getQualifiedName();<no-session-id>;1271985419755454469;1578228634971100600;1578228634971101500;DESKTOP-4RF3KHM;31;5
$1;1578228634971120100;public final java.lang.String depends.entity.Entity.getQualifiedName();<no-session-id>;1271985419755454469;1578228634971113900;1578228634971114600;DESKTOP-4RF3KHM;32;5
$1;1578228634971197300;public depends.entity.Entity depends.entity.Entity.getParent();<no-session-id>;1271985419755454469;1578228634971184900;1578228634971192100;DESKTOP-4RF3KHM;33;5
$1;1578228634971204200;public void depends.entity.repo.InMemoryEntityRepo.add(depends.entity.Entity);<no-session-id>;1271985419755454469;1578228634970821600;1578228634971202800;DESKTOP-4RF3KHM;26;4
$1;1578228634971207400;public depends.entity.FileEntity depends.extractor.HandlerContext.startFile(java.lang.String);<no-session-id>;1271985419755454469;1578228634969215500;1578228634971206500;DESKTOP-4RF3KHM;9;3
$1;1578228634971210400;public depends.extractor.java.JavaListener.<init>(java.lang.String, depends.entity.repo.EntityRepo, depends.relations.Inferer);<no-session-id>;1271985419755454469;1578228634917707500;1578228634971209600;DESKTOP-4RF3KHM;4;2
$1;1578228635024373900;public depends.entity.GenericName.<init>(java.lang.String);<no-session-id>;1271985419755454469;1578228635024369300;1578228635024371000;DESKTOP-4RF3KHM;36;4
$1;1578228635024391600;public static depends.entity.GenericName depends.entity.GenericName.build(java.lang.String);<no-session-id>;1271985419755454469;1578228635024361600;1578228635024390200;DESKTOP-4RF3KHM;35;3
$1;1578228635024620700;public depends.entity.Entity depends.extractor.HandlerContext.latestValidContainer();<no-session-id>;1271985419755454469;1578228635024599100;1578228635024617700;DESKTOP-4RF3KHM;38;4
$1;1578228635024638800;public java.lang.Integer depends.entity.repo.SimpleIdGenerator.generateId();<no-session-id>;1271985419755454469;1578228635024636300;1578228635024637500;DESKTOP-4RF3KHM;39;4
$1;1578228635024665400;public depends.entity.GenericName.<init>(java.lang.String);<no-session-id>;1271985419755454469;1578228635024663100;1578228635024664200;DESKTOP-4RF3KHM;42;6
$1;1578228635024669200;public static depends.entity.GenericName depends.entity.GenericName.build(java.lang.String);<no-session-id>;1271985419755454469;1578228635024659100;1578228635024668300;DESKTOP-4RF3KHM;41;5
$1;1578228635024752700;private java.util.Set depends.entity.Entity.children();<no-session-id>;1271985419755454469;1578228635024737900;1578228635024750900;DESKTOP-4RF3KHM;43;5
$1;1578228635024837500;public int depends.entity.Entity.hashCode();<no-session-id>;1271985419755454469;1578228635024820100;1578228635024835300;DESKTOP-4RF3KHM;44;5
$1;1578228635024878800;public depends.entity.GenericName depends.entity.GenericName.replace(java.lang.String, java.lang.String);<no-session-id>;1271985419755454469;1578228635024856800;1578228635024877200;DESKTOP-4RF3KHM;46;6
$1;1578228635024890600;public boolean depends.entity.GenericName.startsWith(java.lang.String);<no-session-id>;1271985419755454469;1578228635024887600;1578228635024889400;DESKTOP-4RF3KHM;47;6
$1;1578228635024990800;public depends.entity.Entity depends.entity.Entity.getParent();<no-session-id>;1271985419755454469;1578228635024987900;1578228635024989100;DESKTOP-4RF3KHM;49;7
$1;1578228635024996600;public java.lang.String depends.entity.FileEntity.getQualifiedName(boolean);<no-session-id>;1271985419755454469;1578228635024967700;1578228635024995500;DESKTOP-4RF3KHM;48;6
$1;1578228635025014100;public depends.entity.Entity depends.entity.Entity.getParent();<no-session-id>;1271985419755454469;1578228635025012300;1578228635025012900;DESKTOP-4RF3KHM;51;7
$1;1578228635025017800;public java.lang.String depends.entity.FileEntity.getQualifiedName(boolean);<no-session-id>;1271985419755454469;1578228635025007800;1578228635025016900;DESKTOP-4RF3KHM;50;6
$1;1578228635025033500;public java.lang.String depends.entity.GenericName.uniqName();<no-session-id>;1271985419755454469;1578228635025028800;1578228635025032400;DESKTOP-4RF3KHM;52;6
$1;1578228635025037200;private void depends.entity.Entity.deduceQualifiedName();<no-session-id>;1271985419755454469;1578228635024850800;1578228635025036300;DESKTOP-4RF3KHM;45;5
$1;1578228635025041200;public depends.entity.Entity.<init>(depends.entity.GenericName, depends.entity.Entity, java.lang.Integer);<no-session-id>;1271985419755454469;1578228635024653700;1578228635025040500;DESKTOP-4RF3KHM;40;4
$1;1578228635025052800;public depends.entity.DecoratedEntity.<init>(depends.entity.GenericName, depends.entity.Entity, java.lang.Integer);<no-session-id>;1271985419755454469;1578228635025049100;1578228635025051800;DESKTOP-4RF3KHM;53;4
$1;1578228635025062100;public depends.entity.ContainerEntity.<init>(depends.entity.GenericName, depends.entity.Entity, java.lang.Integer);<no-session-id>;1271985419755454469;1578228635025059300;1578228635025061300;DESKTOP-4RF3KHM;54;4
$1;1578228635025073600;public depends.entity.TypeEntity.<init>(depends.entity.GenericName, depends.entity.Entity, java.lang.Integer);<no-session-id>;1271985419755454469;1578228635025070100;1578228635025072400;DESKTOP-4RF3KHM;55;4
$1;1578228635025084900;protected void depends.extractor.HandlerContext.pushToStack(depends.entity.Entity);<no-session-id>;1271985419755454469;1578228635025081200;1578228635025084000;DESKTOP-4RF3KHM;56;4
$1;1578228635025101700;public java.lang.Integer depends.entity.Entity.getId();<no-session-id>;1271985419755454469;1578228635025099800;1578228635025100600;DESKTOP-4RF3KHM;58;5
$1;1578228635025111800;public depends.entity.GenericName depends.entity.Entity.getRawName();<no-session-id>;1271985419755454469;1578228635025110000;1578228635025110900;DESKTOP-4RF3KHM;59;5
$1;1578228635025119400;public java.lang.String depends.entity.GenericName.uniqName();<no-session-id>;1271985419755454469;1578228635025117000;1578228635025118600;DESKTOP-4RF3KHM;60;5
$1;1578228635025127100;public final java.lang.String depends.entity.Entity.getQualifiedName();<no-session-id>;1271985419755454469;1578228635025125500;1578228635025126300;DESKTOP-4RF3KHM;61;5
$1;1578228635025133700;public final java.lang.String depends.entity.Entity.getQualifiedName();<no-session-id>;1271985419755454469;1578228635025131800;1578228635025132800;DESKTOP-4RF3KHM;62;5
$1;1578228635025139800;public final java.lang.String depends.entity.Entity.getQualifiedName();<no-session-id>;1271985419755454469;1578228635025138400;1578228635025139000;DESKTOP-4RF3KHM;63;5
$1;1578228635025146700;public depends.entity.Entity depends.entity.Entity.getParent();<no-session-id>;1271985419755454469;1578228635025145400;1578228635025145900;DESKTOP-4RF3KHM;64;5
$1;1578228635025152700;public depends.entity.Entity depends.entity.Entity.getParent();<no-session-id>;1271985419755454469;1578228635025151400;1578228635025151900;DESKTOP-4RF3KHM;65;5
$1;1578228635025244500;public depends.entity.Entity depends.entity.Entity.getParent();<no-session-id>;1271985419755454469;1578228635025242300;1578228635025243000;DESKTOP-4RF3KHM;67;6
$1;1578228635025327200;public boolean depends.entity.Entity.equals(java.lang.Object);<no-session-id>;1271985419755454469;1578228635025315400;1578228635025325400;DESKTOP-4RF3KHM;68;6
